image_path,label
/train_images/1.jpg,1
/train_images/1_flipped.jpg,1
/train_images/1_zoomed.jpg,1
/train_images/1_flipped_zoomed.jpg,1
/train_images/1_expanded.jpg,1
/train_images/1_expanded_and_zoomed.jpg,1
/train_images/1_expanded_and_flipped.jpg,1
/train_images/1_expanded_and_flipped_and_zoomed.jpg,1
/train_images/2.jpg,1
/train_images/2_flipped.jpg,1
/train_images/2_zoomed.jpg,1
/train_images/2_flipped_zoomed.jpg,1
/train_images/2_expanded.jpg,1
/train_images/2_expanded_and_zoomed.jpg,1
/train_images/2_expanded_and_flipped.jpg,1
/train_images/2_expanded_and_flipped_and_zoomed.jpg,1
/train_images/3.jpg,1
/train_images/3_flipped.jpg,1
/train_images/3_zoomed.jpg,1
/train_images/3_flipped_zoomed.jpg,1
/train_images/3_expanded.jpg,1
/train_images/3_expanded_and_zoomed.jpg,1
/train_images/3_expanded_and_flipped.jpg,1
/train_images/3_expanded_and_flipped_and_zoomed.jpg,1
/train_images/4.jpg,1
/train_images/4_flipped.jpg,1
/train_images/4_zoomed.jpg,1
/train_images/4_flipped_zoomed.jpg,1
/train_images/4_expanded.jpg,1
/train_images/4_expanded_and_zoomed.jpg,1
/train_images/4_expanded_and_flipped.jpg,1
/train_images/4_expanded_and_flipped_and_zoomed.jpg,1
/train_images/5.jpg,1
/train_images/5_flipped.jpg,1
/train_images/5_zoomed.jpg,1
/train_images/5_flipped_zoomed.jpg,1
/train_images/5_expanded.jpg,1
/train_images/5_expanded_and_zoomed.jpg,1
/train_images/5_expanded_and_flipped.jpg,1
/train_images/5_expanded_and_flipped_and_zoomed.jpg,1
/train_images/6.jpg,1
/train_images/6_flipped.jpg,1
/train_images/6_zoomed.jpg,1
/train_images/6_flipped_zoomed.jpg,1
/train_images/6_expanded.jpg,1
/train_images/6_expanded_and_zoomed.jpg,1
/train_images/6_expanded_and_flipped.jpg,1
/train_images/6_expanded_and_flipped_and_zoomed.jpg,1
/train_images/7.jpg,1
/train_images/7_flipped.jpg,1
/train_images/7_zoomed.jpg,1
/train_images/7_flipped_zoomed.jpg,1
/train_images/7_expanded.jpg,1
/train_images/7_expanded_and_zoomed.jpg,1
/train_images/7_expanded_and_flipped.jpg,1
/train_images/7_expanded_and_flipped_and_zoomed.jpg,1
/train_images/8.jpg,1
/train_images/8_flipped.jpg,1
/train_images/8_zoomed.jpg,1
/train_images/8_flipped_zoomed.jpg,1
/train_images/8_expanded.jpg,1
/train_images/8_expanded_and_zoomed.jpg,1
/train_images/8_expanded_and_flipped.jpg,1
/train_images/8_expanded_and_flipped_and_zoomed.jpg,1
/train_images/9.jpg,1
/train_images/9_flipped.jpg,1
/train_images/9_zoomed.jpg,1
/train_images/9_flipped_zoomed.jpg,1
/train_images/9_expanded.jpg,1
/train_images/9_expanded_and_zoomed.jpg,1
/train_images/9_expanded_and_flipped.jpg,1
/train_images/9_expanded_and_flipped_and_zoomed.jpg,1
/train_images/10.jpg,1
/train_images/10_flipped.jpg,1
/train_images/10_zoomed.jpg,1
/train_images/10_flipped_zoomed.jpg,1
/train_images/10_expanded.jpg,1
/train_images/10_expanded_and_zoomed.jpg,1
/train_images/10_expanded_and_flipped.jpg,1
/train_images/10_expanded_and_flipped_and_zoomed.jpg,1
/train_images/11.jpg,1
/train_images/11_flipped.jpg,1
/train_images/11_zoomed.jpg,1
/train_images/11_flipped_zoomed.jpg,1
/train_images/11_expanded.jpg,1
/train_images/11_expanded_and_zoomed.jpg,1
/train_images/11_expanded_and_flipped.jpg,1
/train_images/11_expanded_and_flipped_and_zoomed.jpg,1
/train_images/12.jpg,1
/train_images/12_flipped.jpg,1
/train_images/12_zoomed.jpg,1
/train_images/12_flipped_zoomed.jpg,1
/train_images/12_expanded.jpg,1
/train_images/12_expanded_and_zoomed.jpg,1
/train_images/12_expanded_and_flipped.jpg,1
/train_images/12_expanded_and_flipped_and_zoomed.jpg,1
/train_images/13.jpg,1
/train_images/13_flipped.jpg,1
/train_images/13_zoomed.jpg,1
/train_images/13_flipped_zoomed.jpg,1
/train_images/13_expanded.jpg,1
/train_images/13_expanded_and_zoomed.jpg,1
/train_images/13_expanded_and_flipped.jpg,1
/train_images/13_expanded_and_flipped_and_zoomed.jpg,1
/train_images/14.jpg,1
/train_images/14_flipped.jpg,1
/train_images/14_zoomed.jpg,1
/train_images/14_flipped_zoomed.jpg,1
/train_images/14_expanded.jpg,1
/train_images/14_expanded_and_zoomed.jpg,1
/train_images/14_expanded_and_flipped.jpg,1
/train_images/14_expanded_and_flipped_and_zoomed.jpg,1
/train_images/15.jpg,1
/train_images/15_flipped.jpg,1
/train_images/15_zoomed.jpg,1
/train_images/15_flipped_zoomed.jpg,1
/train_images/15_expanded.jpg,1
/train_images/15_expanded_and_zoomed.jpg,1
/train_images/15_expanded_and_flipped.jpg,1
/train_images/15_expanded_and_flipped_and_zoomed.jpg,1
/train_images/16.jpg,1
/train_images/16_flipped.jpg,1
/train_images/16_zoomed.jpg,1
/train_images/16_flipped_zoomed.jpg,1
/train_images/16_expanded.jpg,1
/train_images/16_expanded_and_zoomed.jpg,1
/train_images/16_expanded_and_flipped.jpg,1
/train_images/16_expanded_and_flipped_and_zoomed.jpg,1
/train_images/17.jpg,1
/train_images/17_flipped.jpg,1
/train_images/17_zoomed.jpg,1
/train_images/17_flipped_zoomed.jpg,1
/train_images/17_expanded.jpg,1
/train_images/17_expanded_and_zoomed.jpg,1
/train_images/17_expanded_and_flipped.jpg,1
